"","Project_Name","Site_Year_Code","Site","Year","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Conversion_Units_To_Pounds","Resource_Harvest_Units","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"63","Marine Mammals 2005","Haines_2005","Haines","2005","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,164.5,164,164,164,NA,NA,56,"Ind.",2,2,NA,NA,NA
"64","Marine Mammals 2006","Haines_2006","Haines","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,329,388,329,687,NA,NA,56,"Ind.",4,4,NA,NA,NA
"65","Marine Mammals 1995","Haines_1995","Haines","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"66","Marine Mammals 1996","Haines_1996","Haines","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"67","Marine Mammals 1997","Haines_1997","Haines","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"68","Marine Mammals 1998","Haines_1998","Haines","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"69","Marine Mammals 2000","Haines_2000","Haines","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"70","Marine Mammals 2001","Haines_2001","Haines","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"71","Marine Mammals 2002","Haines_2002","Haines","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"72","Marine Mammals 2003","Haines_2003","Haines","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"73","Marine Mammals 2004","Haines_2004","Haines","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"74","Marine Mammals 2005","Haines_2005","Haines","2005","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"75","Marine Mammals 2006","Haines_2006","Haines","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"76","Marine Mammals 2007","Haines_2007","Haines","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
