"","Project_Name","Site_Year_Code","Habitat","General_Category","General_Category_lvl2","Family","Species","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Conversion_Units_To_Pounds","Resource_Harvest_Units","Est_Comm_Population","Type","Site","Year","Genus"
"37","NPRB Yakutat Comprehensive","Yakutat_2015","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Coho Salmon",6482.7,15438.1,64.3,26.09179,1470,3500.7,0.1,"4.41","Ind.","591.7",NA,NA,NA,NA
"38","NPRB Yakutat Comprehensive","Yakutat_2015","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Chinook Salmon",4237.3,10086,42,17.046246,585,1392.5,0.065,"7.2432","Ind.","591.7",NA,NA,NA,NA
"39","NPRB Yakutat Comprehensive","Yakutat_2015","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Pink Salmon",591.5,1406.5,5.9,2.377091,211,501.7,0.009,"2.8032","Ind.","591.7",NA,NA,NA,NA
"40","NPRB Yakutat Comprehensive","Yakutat_2015","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Sockeye Salmon",11379.5,27077.8,112.8,45.763954,3527,8392.6,0.175,"3.2264","Ind.","591.7",NA,NA,NA,NA
"41","NPRB Yakutat Comprehensive","Yakutat_2015","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Unknown Salmon",117.9,280.2,1.2,0.4735964,30,71.3,0.002,"3.9308503","Ind.","591.7",NA,NA,NA,NA
"42","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Clupeidae","Herring",1320,3150.9,13.1,5.3253007,220,525.1,0.02,"6","Gal.","591.7",NA,NA,NA,NA
"43","NPRB Yakutat Comprehensive","Yakutat_2015","Nearshore","Fish","Non-Salmon Fish","Clupeidae","Herring Roe",1738,4129.9,17.3,6.980240769,423.5,2568.3,0.026999999,"7_3.94","lb._Gal.","591.7",NA,NA,NA,NA
"44","NPRB Yakutat Comprehensive","Yakutat_2015","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Eulachon (hooligan, candlefish",1333.5,3168.7,13.2,5.3554215,222.3,528.1,0.02,"6","Gal.","591.7",NA,NA,NA,NA
"45","NPRB Yakutat Comprehensive","Yakutat_2015","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Silver Smelt",0,0,0,0,0,0,0,"9","Gal.","591.7",NA,NA,NA,NA
"46","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Gadidae","Pacific Cod (gray)",3.2,15.2,0.1,0.02570281,1,4.8,0,"3.2","Ind.","591.7",NA,NA,NA,NA
